Temp,QTLow,QTHi,Spat,QSlow,Qshi
0,0.2,0.6,0,0.2,0.6
0.02,0.2,0.6,0.02,0.35999996,0.68
0.04,0.2,0.6,0.04,0.51999996,0.76
0.06,0.2,0.6,0.06,0.67999996,0.84
0.08,0.2,0.6,0.08,0.83999996,0.92
0.1,0.2,0.6,0.1,0.99999996,1
0.12,0.2,0.6,0.12,1,1
0.14,0.2,0.6,0.14,1,1
0.16,0.2,0.6,0.16,1,1
0.18,0.2,0.6,0.18,1,1
0.2,0.2,0.6,0.2,1,1
0.22,0.2,0.6,0.22,1,1
0.24,0.2,0.6,0.24,1,1
0.26,0.2,0.6,0.26,1,1
0.28,0.2,0.6,0.28,1,1
0.3,0.2,0.6,0.3,1,1
0.32,0.2,0.6,0.32,1,1
0.34,0.2,0.6,0.34,1,1
0.36,0.2,0.6,0.36,1,1
0.38,0.2,0.6,0.38,1,1
0.4,0.2,0.6,0.4,1,1
0.42,0.2,0.6,0.42,1,1
0.44,0.2,0.6,0.44,1,1
0.46,0.2,0.6,0.46,1,1
0.48,0.2,0.6,0.48,1,1
0.5,0.2,0.6,0.5,1,1
0.52,0.2,0.6,0.52,1,1
0.54,0.2,0.6,0.54,1,1
0.56,0.2,0.6,0.56,1,1
0.58,0.2,0.6,0.58,1,1
0.6,0.2,0.6,0.6,1,1
0.62,0.2,0.6,0.62,1,1
0.64,0.2,0.6,0.64,1,1
0.66,0.2,0.6,0.66,1,1
0.68,0.2,0.6,0.68,1,1
0.7,0.2,0.6,0.7,1,1
0.72,0.2,0.6,0.72,1,1
0.74,0.2,0.6,0.74,1,1
0.76,0.2,0.6,0.76,1,1
0.78,0.2,0.6,0.78,1,1
0.8,0.2,0.6,0.8,1,1
0.82,0.2,0.6,0.82,1,1
0.84,0.2,0.6,0.84,1,1
0.86,0.2,0.6,0.86,1,1
0.88,0.2,0.6,0.88,1,1
0.9,0.2,0.6,0.9,1,1
0.92,0.2,0.6,0.92,1,1
0.94,0.2,0.6,0.94,1,1
0.96,0.2,0.6,0.96,1,1
0.98,0.2,0.6,0.98,1,1
1,0.2,0.6,1,1,1
